episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
145,3,360,-525.1762,10.64,2.63,3462,0.160101,0.325,131.6,0,,0,0,8.94e-05
146,0,360,-342.724,14.91,4.62,4239,0.157371,1.0,112.5,0,,0,0,8.92e-05
147,1,360,-423.5672,12.67,4.54,3677,0.116352,0.775,107.9,1,"SRC_HN_N04,EXT_N_N02_in",2,0,8.9e-05
148,2,360,-436.3436,12.68,3.23,3759,0.136733,0.55,121.4,0,,0,0,8.87e-05
149,4,360,-535.1705,9.87,4.04,3332,0.062471,0.1,142.7,0,,0,0,8.85e-05
150,3,360,-779.8705,9.64,4.29,3462,0.107619,0.325,137.2,0,,0,0,8.83e-05
151,0,360,-413.8513,15.23,7.91,4026,0.128523,1.0,118.7,0,,0,0,8.81e-05
152,1,360,-365.4886,14.2,3.53,3874,0.163427,0.775,114.0,1,EXT_W_N04_in,1,0,8.78e-05
153,3,360,-148.525,45.46,0.26,805,0.152765,0.325,17.6,0,,0,0,8.76e-05
154,3,360,-135.4662,40.96,2.05,754,0.18391,0.325,16.4,1,EXT_W_N07_in,1,0,8.74e-05
155,2,360,-593.8764,12.17,3.02,3468,0.090618,0.55,136.5,0,,0,0,8.72e-05
156,4,360,-539.9561,9.46,3.17,3381,0.139558,0.1,142.4,0,,0,0,8.69e-05
157,1,360,-435.9142,13.1,3.04,3742,0.348439,0.775,130.0,0,,0,0,8.67e-05
158,0,360,-1859.3312,10.3,6.9,3259,0.140806,1.0,142.5,1,"EXT_E_N03_in,SRC_HN_N05,SRC_NCT_N_N01",3,0,8.64e-05
159,3,360,-503.9171,10.78,3.65,3604,0.136179,0.325,131.2,0,,0,0,8.62e-05
160,2,360,-1004.5391,7.16,25.48,3488,0.124064,0.55,138.8,1,SRC_THD_N07,1,0,8.6e-05
161,1,360,-854.4606,8.55,21.08,3235,0.198988,0.775,120.5,1,"EXT_N_N01_in,SRC_PH_N06,SRC_NH_N06",3,0,8.57e-05
