episode,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s
155,112320,-316.0,30.37,0.37,3,0.121082,0.05,15.5
156,113040,-12.0,32.48,1.44,0,0.130557,0.05,11.8
157,113760,-277.0,26.06,0.86,1,0.129904,0.05,15.4
158,114480,-215.0,23.25,1.3,1,0.131938,0.05,15.2
159,115200,-266.0,32.64,0.64,3,0.128003,0.05,15.3
160,115920,-258.0,23.78,0.32,4,0.122565,0.05,15.4
161,116640,-156.0,21.71,2.56,0,0.122302,0.05,14.1
162,117360,-243.0,29.37,1.14,1,0.124801,0.05,15.3
163,118080,-249.0,23.46,2.22,3,0.130935,0.05,15.3
164,118800,-247.0,27.29,1.04,0,0.12286,0.05,15.4
165,119520,-253.0,31.8,0.0,2,0.128477,0.05,15.4
166,120240,-267.0,26.39,0.35,1,0.131137,0.05,15.4
167,120960,-18.0,37.36,0.0,1,0.126573,0.05,11.7
168,121680,-248.0,30.83,0.04,3,0.13043,0.05,15.3
169,122400,-264.0,32.53,1.12,4,0.126175,0.05,15.4
170,123120,-15.0,29.22,1.56,0,0.122133,0.05,11.7
171,123840,-231.0,25.55,4.04,0,0.119071,0.05,15.3
172,124560,-312.0,23.15,3.41,3,0.123341,0.05,15.4
173,125280,-137.0,28.12,0.41,1,0.124465,0.05,14.1
174,126000,-150.0,31.47,0.78,0,0.128158,0.05,14.0
175,126720,-295.0,24.55,0.75,2,0.127719,0.05,15.4
176,127440,-21.0,31.7,0.75,1,0.121431,0.05,11.7
177,128160,-217.0,27.43,1.54,2,0.124186,0.05,15.3
178,128880,-244.0,22.38,3.39,2,0.129203,0.05,15.4
179,129600,-250.0,27.46,0.61,0,0.126027,0.05,15.3
180,130320,-169.0,33.16,0.0,0,0.122854,0.05,14.1
181,131040,-161.0,32.98,0.3,0,0.119361,0.05,14.1
182,131760,-230.0,25.1,2.38,2,0.128528,0.05,15.4
183,132480,-159.0,30.12,0.55,0,0.129147,0.05,14.0
184,133200,-173.0,32.63,0.0,2,0.129974,0.05,14.3
185,133920,-286.0,29.09,0.48,2,0.133826,0.05,15.3
186,134640,-150.0,31.11,0.16,4,0.125071,0.05,14.2
187,135360,-261.0,33.16,0.5,2,0.124983,0.05,15.5
188,136080,-128.0,34.35,0.21,2,0.132419,0.05,14.1
189,136800,-261.0,27.92,0.04,3,0.129274,0.05,15.4
190,137520,-10.0,25.0,0.12,0,0.126978,0.05,11.6
191,138240,-296.0,26.99,1.14,4,0.112589,0.05,15.4
192,138960,-137.0,29.23,0.09,1,0.110529,0.05,14.1
193,139680,-236.0,28.01,0.65,2,0.100765,0.05,15.3
194,140400,-279.0,24.62,1.92,5,0.108779,0.05,15.3
195,141120,-263.0,29.94,0.9,2,0.112686,0.05,15.3
196,141840,-18.0,27.92,0.62,1,0.110246,0.05,11.6
197,142560,-155.0,33.76,0.0,2,0.107444,0.05,14.3
198,143280,-242.0,27.31,2.04,2,0.114732,0.05,15.4
199,144000,-158.0,30.65,0.08,1,0.118567,0.05,14.3
200,144720,-300.0,27.82,0.67,0,0.118356,0.05,15.4
201,145440,-233.0,25.91,0.67,4,0.119629,0.05,15.4
202,146160,-247.0,25.5,0.1,2,0.121834,0.05,15.4
203,146880,-160.0,31.73,0.0,2,0.121598,0.05,14.1
204,147600,-161.0,31.49,0.0,4,0.118111,0.05,14.1
205,148320,-268.0,28.58,1.07,2,0.113384,0.05,15.4
206,149040,-140.0,28.16,1.35,2,0.118568,0.05,14.1
207,149760,-136.0,32.44,0.52,0,0.112284,0.05,14.2
208,150480,-139.0,29.43,0.83,1,0.121284,0.05,14.1
209,151200,-258.0,32.19,0.03,1,0.120167,0.05,15.6
