# finetune_from: checkpoints/final/gat_marl_mydinh_best.pt
# topology: uet
episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
86,0,360,-306.4568,41.36,2.44,1253,0.017077,1.0,29.4,0,,0,0,7.03e-05
87,1,360,-964.2165,10.89,5.31,2281,0.027641,0.7,165.3,1,"SRC_RM_AB_N08,SRC_R2_BC_N13,SRC_V5S_N15",3,0,6.95e-05
88,1,360,-289.149,33.22,3.27,1233,0.008812,0.7,31.2,0,,0,0,6.87e-05
89,3,360,-894.8955,11.58,6.69,2383,0.012966,0.1,149.8,1,"EXT_S_N13_in,SRC_R1_DE_N05",2,0,6.79e-05
90,2,360,-1491.7393,9.66,20.47,2189,0.015355,0.4,160.9,1,"SRC_V3N_N07,SRC_RM_AB_N07",2,0,6.71e-05
91,0,360,-843.0836,12.04,4.71,2758,0.021083,1.0,153.7,1,SRC_RM_AB_N07,1,0,6.63e-05
92,1,360,-975.9455,11.22,6.81,2659,0.067351,0.7,143.0,1,"SRC_RM_BC_N09,SRC_RM_CD_N09,SRC_V5S_N15",3,0,6.55e-05
93,1,360,-278.9401,42.92,1.17,1244,0.017623,0.7,30.3,0,,0,0,6.46e-05
94,3,360,-720.4627,10.77,5.55,2412,0.013345,0.1,149.6,0,,0,0,6.38e-05
95,1,360,-300.044,35.58,1.76,1219,0.018068,0.7,30.7,0,,0,0,6.29e-05
96,2,360,-790.6712,12.71,6.95,2567,0.022029,0.4,148.7,0,,0,0,6.21e-05
97,0,360,-833.0408,13.37,6.31,2842,0.022664,1.0,152.3,0,,0,0,6.12e-05
98,0,360,-321.6805,35.53,4.18,1241,0.014468,1.0,30.5,0,,0,0,6.04e-05
99,3,360,-813.4266,11.53,6.43,2408,0.011711,0.1,150.1,0,,0,0,5.95e-05
100,1,360,-678.2749,15.55,5.35,2750,0.037958,0.7,131.5,1,"EXT_E_N10_in,EXT_S_N14_in,SRC_RM_BC_N09",3,0,5.87e-05
101,2,360,-1111.6601,10.46,12.02,2280,0.018284,0.4,152.4,1,"SRC_R1_EF_N06,SRC_R2_BC_N13,EXT_N_N05_in",3,0,5.78e-05
102,1,360,-312.3848,34.61,3.21,1226,0.010012,0.7,32.1,0,,0,0,5.7e-05
103,0,360,-1246.4633,11.98,21.16,2785,0.019254,1.0,154.1,1,"SRC_R2_CD_N14,SRC_V4N_N04,SRC_R1_BC_N03",3,0,5.61e-05
104,3,360,-769.7668,11.38,3.96,2453,0.012322,0.1,150.0,0,,0,0,5.52e-05
105,2,360,-881.0465,12.23,5.38,2168,0.018103,0.4,156.7,0,,0,0,5.44e-05
106,1,360,-903.7847,11.94,5.28,2244,0.010425,0.7,155.4,0,,0,0,5.35e-05
