141,6,360,-636.6247,16.09,3.33,4033,0.030451,0.4,778.7,1,"SRC_V6_N10,EXT_W_N11_in",2,0,9.02e-05
142,7,360,-908.7279,12.59,6.75,3777,0.030451,0.3,765.6,1,SRC_V2_N02,1,0,9e-05
143,0,360,-1098.4591,12.02,8.8,4013,0.030451,1.0,622.6,1,"SRC_R2_CD_N14,SRC_V5N_N09",2,0,8.98e-05
144,1,360,-1104.5943,14.72,5.43,4230,0.030451,0.9,791.1,1,"SRC_RM_AB_N07,SRC_V4S_N14",2,0,8.96e-05
145,3,360,-623.592,14.76,3.85,4007,0.030451,0.7,126.9,0,,0,0,8.94e-05
146,9,360,-609.3436,12.24,3.22,3585,0.007838,0.1,112.8,0,,0,0,8.92e-05
147,6,360,-604.2705,14.35,3.43,3811,0.003974,0.4,116.4,0,,0,0,8.9e-05
148,1,360,-553.8513,17.81,2.92,4522,0.00591,0.9,116.0,0,,0,0,8.87e-05
149,3,360,-498.2305,14.88,4.32,4054,0.003935,0.7,116.2,0,,0,0,8.85e-05
150,2,360,-528.7689,15.62,3.82,4044,0.003243,0.8,178.9,1,"EXT_W_N11_in,SRC_RM_AB_N07",2,0,8.83e-05
151,0,360,-607.3256,16.42,4.39,4304,0.004046,1.0,162.8,1,"EXT_W_N11_in,SRC_V4S_N08",2,0,8.81e-05
152,4,360,-515.7175,16.96,3.76,3743,0.005071,0.6,183.0,1,"EXT_N_N04_in,EXT_N_N05_in",2,0,8.78e-05
153,5,360,-710.5285,15.35,4.45,3878,0.004081,0.5,233.6,1,"EXT_S_N13_in,SRC_R1_CD_N03",2,0,8.76e-05
154,8,360,-1091.5789,10.88,5.53,3402,0.003857,0.2,203.5,1,"SRC_R2_AB_N12,EXT_W_N11_in,SRC_V5S_N15",3,0,8.74e-05
155,0,360,-281.5663,43.19,1.12,1252,0.004094,1.0,23.9,0,,0,0,8.72e-05
156,7,360,-1323.4467,12.28,6.89,3621,0.003657,0.3,209.6,1,SRC_R1_AB_N01,1,0,8.69e-05
157,6,360,-578.8491,16.38,3.06,3971,0.028837,0.4,134.7,1,SRC_RM_BC_N09,1,0,8.67e-05
158,1,360,-610.8963,14.05,6.57,3768,0.004958,0.9,117.9,1,"SRC_R2_AB_N12,EXT_W_N01_in",2,0,8.64e-05
159,9,360,-1406.9618,8.8,12.12,3531,0.002699,0.1,164.8,1,"SRC_R1_AB_N01,SRC_R1_DE_N05",2,0,8.62e-05
160,3,360,-675.3323,13.12,4.27,4065,0.004221,0.7,144.7,0,,0,0,8.6e-05
161,2,360,-540.0906,18.84,3.12,3869,0.004119,0.8,130.2,1,"SRC_V1_N01,EXT_S_N14_in,SRC_V6_N10",3,0,8.57e-05
