episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
87,1,360,-609.2559,15.57,4.01,3431,0.02574,0.8714,85.5,1,"EXT_W_N07_in,SRC_NCT_N_N04",2,0,9.84e-05
88,6,360,-383.4027,10.93,6.79,3519,0.017676,0.2286,91.6,0,,0,0,9.83e-05
89,0,360,-394.4339,13.91,4.7,4042,0.019757,1.0,82.6,0,,0,0,9.82e-05
90,3,360,-211.0092,32.06,4.66,666,0.026738,0.6143,10.4,1,"SRC_HTM_W_N01,EXT_E_N03_in,EXT_S_N07_in",3,0,9.81e-05
91,1,360,-165.6864,40.4,1.59,591,0.031448,0.8714,9.8,1,"EXT_E_N03_in,EXT_W_N01_in,SRC_PH_N03",3,0,9.8e-05
92,4,360,-384.379,11.59,2.51,3548,0.016268,0.4857,91.9,0,,0,0,9.79e-05
93,7,360,-455.4787,10.91,2.54,3176,0.022166,0.1,84.9,1,"SRC_HN_N04,EXT_N_N02_in",2,0,9.78e-05
94,5,360,-366.4195,12.92,2.65,3698,0.060303,0.3571,81.0,0,,0,0,9.77e-05
95,0,360,-381.5523,13.43,6.79,3468,0.025156,1.0,62.3,1,"EXT_N_N03_in,EXT_S_N08_in",2,0,9.76e-05
96,2,360,-425.0378,11.03,4.94,3948,0.025939,0.7429,80.6,0,,0,0,9.75e-05
97,1,360,-376.1671,15.59,4.28,4066,0.02513,0.8714,75.7,1,SRC_NH_N05,1,0,9.74e-05
98,3,360,-845.9503,9.44,11.05,3229,0.025229,0.6143,79.9,1,"SRC_HTM_W_N01,EXT_N_N02_in,EXT_E_N03_in",3,0,9.73e-05
99,6,360,-580.9086,10.76,4.86,3504,0.020107,0.2286,88.6,0,,0,0,9.72e-05
100,4,360,-849.1357,11.01,3.38,3259,0.016268,0.4857,74.3,1,"EXT_E_N03_in,SRC_HTM_W_N01,SRC_LDT_S_N05",3,0,9.7e-05
101,7,360,-807.6139,12.18,4.27,3374,0.023846,0.1,86.9,0,,0,0,9.69e-05
102,5,360,-637.9019,11.24,3.75,3525,0.02354,0.3571,91.9,0,,0,0,9.68e-05
103,0,360,-535.3055,13.16,3.81,3936,0.015594,1.0,83.8,0,,0,0,9.67e-05
104,2,360,-463.6393,11.51,3.57,3754,0.023525,0.7429,85.7,0,,0,0,9.65e-05
105,0,360,-188.0506,36.9,1.81,808,0.020295,1.0,10.8,1,SRC_THD_N07,1,0,9.64e-05
106,3,360,-513.8051,10.15,8.01,3531,0.022127,0.6143,83.8,0,,0,0,9.63e-05
107,1,360,-517.865,9.3,6.59,3699,0.015363,0.8714,85.4,0,,0,0,9.62e-05
108,6,360,-654.9734,9.75,4.32,3308,0.024979,0.2286,91.1,0,,0,0,9.6e-05
109,4,360,-1108.7751,9.5,21.07,2999,0.009731,0.4857,81.6,1,"SRC_LDT_S_N05,SRC_HTM_W_N01",2,0,9.59e-05
110,7,360,-977.1415,7.3,8.73,2923,0.013694,0.1,91.2,1,"SRC_PH_N06,SRC_LDT_N_N05",2,0,9.58e-05
111,2,360,-394.0063,11.63,6.11,3811,0.012135,0.7429,75.2,0,,0,0,9.56e-05
112,5,360,-719.8974,10.23,3.28,3511,0.07204,0.3571,87.6,0,,0,0,9.55e-05
113,0,360,-497.9947,12.25,3.4,3828,0.018187,1.0,82.9,0,,0,0,9.53e-05
114,1,360,-361.6228,15.64,2.8,4097,0.021302,0.8714,76.3,0,,0,0,9.52e-05
115,3,360,-502.9123,10.23,3.83,3706,0.06649,0.6143,90.6,0,,0,0,9.5e-05
116,4,360,-497.5674,10.07,3.69,3528,0.018535,0.4857,84.2,0,,0,0,9.49e-05
117,6,360,-485.0997,11.9,6.0,3524,0.022851,0.2286,87.9,0,,0,0,9.47e-05
118,3,360,-218.806,37.38,1.78,771,0.01437,0.6143,12.3,1,"SRC_HTM_W_N02,EXT_N_N01_in",2,0,9.46e-05
119,2,360,-715.165,11.07,7.81,3357,0.016132,0.7429,76.4,1,"EXT_W_N01_in,SRC_PH_N03,SRC_THD_N08",3,0,9.44e-05
120,5,360,-1202.814,8.78,4.42,2743,0.029049,0.3571,76.5,1,"EXT_E_N03_in,SRC_LDT_N_N05,SRC_LDT_S_N05",3,2,9.42e-05
121,7,360,-526.4999,11.39,8.51,3530,0.02797,0.1,96.7,0,,0,0,9.41e-05
122,0,360,-373.0414,15.45,2.34,4172,0.021187,1.0,83.5,0,,0,0,9.39e-05
123,1,360,-467.3864,12.79,4.18,3846,0.016014,0.8714,94.1,0,,0,0,9.38e-05
124,4,360,-425.5211,13.83,2.95,3268,0.016645,0.4857,80.8,1,"EXT_S_N07_in,SRC_LDT_N_N05",2,0,9.36e-05
125,6,360,-629.2413,9.29,4.15,3349,0.012788,0.2286,88.1,0,,0,0,9.34e-05
126,3,360,-552.2879,10.39,5.63,3724,0.018202,0.6143,93.6,0,,0,0,9.32e-05
127,2,360,-663.5377,11.57,3.1,3288,0.013128,0.7429,85.7,1,"SRC_LDT_N_N05,EXT_W_N07_in",2,0,9.31e-05
128,7,360,-764.7802,8.25,3.62,3286,0.015173,0.1,84.3,1,EXT_N_N01_in,1,0,9.29e-05
129,5,360,-581.4104,10.12,4.33,3539,0.018447,0.3571,93.3,0,,0,0,9.27e-05
130,0,360,-490.9358,13.41,4.42,3628,0.052811,1.0,78.6,1,"EXT_W_N07_in,SRC_NCT_S_N07",2,0,9.25e-05
131,4,360,-2236.671,14.76,70.65,3018,0.024107,0.4857,80.1,1,"EXT_S_N08_in,SRC_HTM_E_N03,SRC_PH_N03",3,0,9.23e-05
132,3,360,-430.3521,12.91,4.08,3530,0.075501,0.6143,73.1,1,EXT_N_N01_in,1,0,9.22e-05
133,1,360,-1579.1919,7.48,26.21,3293,0.014172,0.8714,101.5,1,"SRC_PH_N06,SRC_THD_N07,SRC_NCT_N_N01",3,0,9.2e-05
134,3,360,-201.8725,30.31,2.76,801,0.028655,0.6143,12.0,1,"SRC_HN_N05,SRC_NH_N05",2,0,9.18e-05
135,6,360,-1602.1452,4.7,23.87,2627,0.02359,0.2286,100.4,1,"SRC_PH_N03,SRC_HTM_W_N01,EXT_W_N01_in",3,0,9.16e-05
136,7,360,-516.965,10.83,6.8,2908,0.01965,0.1,79.0,1,"EXT_N_N01_in,EXT_N_N03_in",2,0,9.14e-05
137,2,360,-725.5262,10.41,6.05,3574,0.021245,0.7429,93.0,1,SRC_LDT_N_N05,1,0,9.12e-05
138,0,360,-515.1681,14.25,5.3,3874,0.015326,1.0,85.0,0,,0,0,9.1e-05
139,2,360,-190.1005,28.74,1.5,727,0.016772,0.7429,11.9,1,"SRC_PH_N03,EXT_S_N08_in",2,0,9.08e-05
140,5,360,-460.6869,11.52,3.37,3517,0.017857,0.3571,94.1,0,,0,0,9.06e-05
141,4,360,-536.7838,10.15,2.69,2919,0.019602,0.4857,78.8,1,"EXT_S_N08_in,SRC_NH_N05,SRC_LDT_S_N08",3,0,9.04e-05
142,1,360,-495.6594,12.65,7.28,3983,0.021802,0.8714,86.2,0,,0,0,9.02e-05
143,3,360,-1393.8073,9.03,14.07,3019,0.021023,0.6143,86.1,1,"SRC_NCT_N_N01,EXT_N_N03_in",2,0,9e-05
144,6,360,-534.4523,11.0,5.82,3368,0.038927,0.2286,88.6,0,,0,0,8.98e-05
145,0,360,-431.7168,14.78,3.62,4078,0.027474,1.0,75.0,0,,0,0,8.96e-05
146,7,360,-635.3284,10.51,2.2,3391,0.030607,0.1,92.5,0,,0,0,8.94e-05
147,2,360,-531.4756,9.9,6.36,3574,0.017995,0.7429,88.9,1,SRC_NH_N05,1,0,8.92e-05
148,5,360,-456.6124,9.07,3.01,3582,0.02624,0.3571,89.7,0,,0,0,8.89e-05
149,1,360,-427.3426,11.74,3.95,3174,0.0181,0.8714,63.8,1,"EXT_N_N01_in,EXT_N_N03_in,EXT_S_N07_in",3,0,8.87e-05
150,4,360,-1575.2086,6.48,32.77,3269,0.013448,0.4857,94.8,1,SRC_LDT_S_N08,1,1,8.85e-05
151,3,360,-504.6938,10.19,6.63,3713,0.079789,0.6143,81.2,0,,0,0,8.83e-05
152,3,360,-180.2107,39.77,1.75,811,0.065741,0.6143,11.6,0,,0,0,8.81e-05
153,6,360,-512.7944,10.89,3.78,3514,0.02601,0.2286,86.3,0,,0,0,8.78e-05
154,0,360,-436.9357,15.26,4.03,3854,0.027599,1.0,68.9,1,EXT_W_N07_in,1,0,8.76e-05
155,0,360,-183.4849,37.42,2.62,816,0.133794,1.0,10.2,0,,0,0,8.74e-05
156,7,360,-556.6255,8.27,2.82,3354,0.02672,0.1,94.3,0,,0,0,8.71e-05
157,2,360,-408.6086,13.84,3.7,3846,0.019671,0.7429,86.0,0,,0,0,8.69e-05
158,5,360,-368.1896,9.76,3.99,3594,0.023308,0.3571,93.3,0,,0,0,8.67e-05
159,1,360,-384.4563,12.38,6.02,3940,0.012348,0.8714,89.8,0,,0,0,8.64e-05
160,5,360,-150.6573,31.15,3.84,806,0.019205,0.3571,10.8,0,,0,0,8.62e-05
161,4,360,-632.0355,9.9,4.75,3349,0.018914,0.4857,97.0,0,,0,0,8.6e-05
162,3,360,-456.3691,12.08,6.36,3706,0.01939,0.6143,91.2,0,,0,0,8.57e-05
163,3,360,-219.62,39.26,2.17,692,0.01585,0.6143,10.2,1,EXT_W_N01_in,1,0,8.55e-05
164,0,360,-442.1024,12.05,5.62,4010,0.021195,1.0,88.4,0,,0,0,8.52e-05
165,6,360,-1710.9749,6.7,26.81,2626,0.016041,0.2286,104.7,1,"SRC_LDT_S_N08,SRC_LDT_S_N05,SRC_PH_N06",3,0,8.5e-05
166,2,360,-1039.4351,9.35,4.94,3467,0.053978,0.7429,79.7,1,"EXT_E_N03_in,SRC_HTM_E_N02,SRC_NH_N06",3,0,8.47e-05
167,1,360,-358.336,12.97,3.9,3766,0.017014,0.8714,71.4,1,"EXT_W_N04_in,SRC_THD_N07,EXT_W_N07_in",3,0,8.45e-05
168,7,360,-467.9045,10.7,2.65,3414,0.020394,0.1,95.5,0,,0,0,8.42e-05
169,5,360,-576.8153,12.09,2.85,3543,0.01426,0.3571,83.8,0,,0,0,8.4e-05
170,4,360,-612.9958,10.33,8.06,3709,0.033605,0.4857,91.2,0,,0,0,8.37e-05
171,0,360,-377.6973,14.19,3.72,4231,0.021742,1.0,75.2,0,,0,0,8.35e-05
172,6,360,-515.8451,13.27,4.59,3580,0.026838,0.2286,78.3,1,"EXT_S_N07_in,SRC_NH_N06",2,0,8.32e-05
173,3,360,-534.2641,11.11,4.33,3656,0.016498,0.6143,84.1,0,,0,0,8.3e-05
174,1,360,-811.6054,9.5,4.14,3354,0.017241,0.8714,92.5,1,"SRC_NH_N05,EXT_N_N02_in,SRC_THD_N07",3,0,8.27e-05
175,2,360,-1167.5268,9.01,5.52,3548,0.021332,0.7429,96.6,1,SRC_HN_N05,1,0,8.24e-05
176,7,360,-1313.7029,6.42,17.3,2834,0.019468,0.1,89.5,1,"EXT_N_N03_in,SRC_NCT_S_N04,SRC_NCT_N_N01",3,0,8.22e-05
177,5,360,-571.1405,11.16,2.81,3593,0.017541,0.3571,82.4,0,,0,0,8.19e-05
178,4,360,-482.8141,12.76,3.72,3680,0.015869,0.4857,89.4,0,,0,0,8.16e-05
179,0,360,-422.2024,14.73,2.98,4027,0.089094,1.0,81.3,1,SRC_HN_N04,1,0,8.14e-05
180,3,360,-343.5132,13.78,3.77,3892,0.015768,0.6143,88.6,0,,0,0,8.11e-05
181,6,360,-1322.1789,8.18,11.05,3245,0.025665,0.2286,96.8,1,SRC_HTM_W_N01,1,0,8.08e-05
182,1,360,-572.4431,11.17,8.23,3742,0.02199,0.8714,94.3,0,,0,0,8.06e-05
183,7,360,-626.8081,9.56,4.18,3359,0.023795,0.1,96.3,0,,0,0,8.03e-05
184,2,360,-971.7475,8.74,3.74,3530,0.01948,0.7429,100.4,1,SRC_LDT_S_N08,1,0,8e-05
185,5,360,-507.1093,11.35,3.87,3638,0.074879,0.3571,93.9,0,,0,0,7.97e-05
186,5,360,-223.3209,24.09,4.55,716,0.033504,0.3571,12.5,1,"EXT_S_N08_in,SRC_LDT_N_N05,SRC_PH_N06",3,0,7.94e-05
187,0,360,-406.3789,14.76,5.58,4192,0.01999,1.0,75.4,1,SRC_THD_N08,1,0,7.92e-05
188,4,360,-931.2252,10.43,8.79,3695,0.023601,0.4857,88.5,1,"SRC_HN_N05,SRC_NH_N06",2,0,7.89e-05
189,3,360,-1163.8328,8.62,13.41,3382,0.024548,0.6143,97.9,1,SRC_NCT_S_N04,1,0,7.86e-05
190,6,360,-1239.2949,6.82,8.6,3285,0.016845,0.2286,100.1,1,SRC_NCT_N_N01,1,0,7.83e-05
191,1,360,-426.9854,13.57,3.93,4073,0.035906,0.8714,77.5,0,,0,0,7.8e-05
192,6,360,-197.7976,38.3,0.24,813,0.021152,0.2286,12.0,0,,0,0,7.77e-05
193,2,360,-407.301,12.72,4.04,3904,0.022951,0.7429,83.3,0,,0,0,7.75e-05
194,7,360,-735.9106,8.61,7.37,3018,0.018226,0.1,91.6,1,SRC_PH_N06,1,0,7.72e-05
195,0,360,-431.2386,10.08,4.27,3659,0.100101,1.0,84.7,1,EXT_N_N01_in,1,0,7.69e-05
196,5,360,-457.3405,9.07,2.74,3470,0.036373,0.3571,95.1,0,,0,0,7.66e-05
197,4,360,-1222.7833,7.86,18.42,3264,0.023147,0.4857,98.7,1,"SRC_NCT_N_N04,SRC_NCT_N_N01",2,0,7.63e-05
198,3,360,-507.9965,10.65,4.58,3614,0.019523,0.6143,90.5,0,,0,0,7.6e-05
199,1,360,-440.2728,13.82,4.5,3931,0.064467,0.8714,80.3,0,,0,0,7.57e-05
200,6,360,-568.2027,11.44,11.92,3136,0.103911,0.2286,75.9,1,"EXT_E_N03_in,SRC_PH_N06,EXT_N_N01_in",3,0,7.54e-05
201,2,360,-487.4071,12.81,3.88,3877,0.017398,0.7429,84.1,0,,0,0,7.51e-05
202,7,360,-937.7032,10.06,8.58,3036,0.015893,0.1,79.7,1,"SRC_NCT_N_N04,EXT_W_N04_in,EXT_S_N08_in",3,0,7.48e-05
203,0,360,-422.5758,13.82,4.19,4085,0.030942,1.0,83.3,0,,0,0,7.45e-05
204,5,360,-447.8735,10.96,3.11,3659,0.026266,0.3571,85.7,0,,0,0,7.42e-05
205,4,360,-561.8023,10.09,2.35,3710,0.026614,0.4857,89.2,1,SRC_THD_N08,1,0,7.39e-05
206,3,360,-462.2832,12.72,2.84,3733,0.018225,0.6143,88.2,0,,0,0,7.36e-05
207,1,360,-1088.5767,9.24,10.18,3100,0.021229,0.8714,90.9,1,"EXT_S_N08_in,SRC_HTM_W_N01",2,0,7.33e-05
208,6,360,-638.7182,9.35,2.4,3505,0.076973,0.2286,93.3,0,,0,0,7.3e-05
209,7,360,-572.0037,10.87,6.05,3277,0.020767,0.1,84.4,1,EXT_W_N04_in,1,0,7.27e-05
210,2,360,-1118.2231,8.56,12.74,3436,0.022422,0.7429,99.2,1,"SRC_NH_N06,SRC_LDT_S_N08",2,0,7.24e-05
211,0,360,-510.7007,16.2,4.61,3963,0.019362,1.0,81.3,0,,0,0,7.2e-05
212,5,360,-413.5434,12.76,1.91,3611,0.020617,0.3571,85.3,0,,0,0,7.17e-05
213,4,360,-541.1379,12.27,2.65,3551,0.021062,0.4857,85.2,0,,0,0,7.14e-05
214,5,360,-186.5251,38.86,2.78,810,0.02406,0.3571,11.3,0,,0,0,7.11e-05
215,4,360,-218.2536,37.54,2.08,802,0.107852,0.4857,11.4,0,,0,0,7.08e-05
216,6,360,-394.3872,11.71,5.51,3229,0.034499,0.2286,71.2,1,"EXT_W_N01_in,EXT_N_N01_in",2,0,7.05e-05
217,3,360,-509.9838,13.29,3.11,3639,0.019347,0.6143,86.3,0,,0,0,7.02e-05
218,1,360,-483.358,11.9,6.65,3461,0.020392,0.8714,79.4,1,SRC_LDT_S_N05,1,0,6.99e-05
219,7,360,-2023.7269,8.16,12.05,2808,0.121332,0.1,84.6,1,"EXT_W_N04_in,SRC_LDT_S_N05,SRC_NCT_S_N04",3,0,6.95e-05
220,2,360,-623.4962,9.05,4.85,3692,0.018833,0.7429,85.1,0,,0,0,6.92e-05
221,0,360,-494.7811,13.01,3.79,3803,0.019692,1.0,93.6,0,,0,0,6.89e-05
222,4,360,-550.272,9.98,4.22,3617,0.02448,0.4857,92.4,0,,0,0,6.86e-05
223,5,360,-1362.2348,6.33,28.2,3189,0.045076,0.3571,101.7,1,"SRC_LDT_S_N08,SRC_NCT_N_N01",2,0,6.83e-05
224,6,360,-590.9248,8.79,4.56,3459,0.014996,0.2286,95.5,0,,0,0,6.79e-05
225,3,360,-652.8215,11.53,4.62,3623,0.020716,0.6143,94.4,0,,0,0,6.76e-05
226,1,360,-524.079,13.57,4.17,3841,0.015148,0.8714,94.7,0,,0,0,6.73e-05
227,7,360,-572.9055,12.66,4.01,3176,0.028759,0.1,79.3,1,EXT_S_N08_in,1,0,6.7e-05
