episode,worker_id,total_steps,global_reward,avg_speed,avg_waiting_time,throughput,loss,epsilon,duration_s,had_obstacle,obstacle_edges,obstacle_count,vehicles_teleported,learning_rate
85,2,360,-547.1988,18.46,3.41,4159,0.031123,0.55,197.2,0,,0,0,9.85e-05
86,4,360,-592.4489,14.19,3.74,3766,0.041641,0.1,212.8,0,,0,0,9.84e-05
87,1,360,-540.4696,15.96,5.11,4177,0.023127,0.775,224.8,0,,0,0,9.83e-05
88,3,360,-722.8132,13.26,5.19,3806,0.038592,0.325,270.3,1,"SRC_V4N_N04,SRC_R2_BC_N13,SRC_R1_EF_N05",3,0,9.83e-05
89,0,360,-913.1712,15.79,8.42,4005,0.038081,1.0,332.7,1,"SRC_R1_CD_N04,SRC_V3N_N07,SRC_R2_DE_N14",3,0,9.82e-05
90,2,360,-540.5948,14.98,4.44,3850,0.029511,0.55,316.8,1,"EXT_S_N13_in,SRC_V5N_N09",2,0,9.81e-05
91,4,360,-535.2321,14.73,3.67,3776,0.033314,0.1,321.8,0,,0,0,9.8e-05
92,1,360,-583.2625,16.21,4.02,4347,0.035612,0.775,322.0,0,,0,0,9.79e-05
93,4,360,-287.7349,43.95,0.79,1230,0.029921,0.1,40.6,1,"SRC_R1_CD_N04,SRC_RM_CD_N09",2,0,9.78e-05
94,3,360,-572.306,17.3,4.03,3933,0.049056,0.325,320.7,0,,0,0,9.77e-05
95,0,360,-594.2977,14.37,4.77,4497,0.079149,1.0,329.1,0,,0,0,9.76e-05
96,2,360,-1254.2428,11.8,9.49,3758,0.025896,0.55,345.7,1,"SRC_V5S_N09,SRC_R2_DE_N15,SRC_R2_CD_N13",3,0,9.74e-05
97,1,360,-869.676,16.25,6.73,3828,0.03918,0.775,328.4,1,"SRC_V4N_N04,EXT_N_N04_in,SRC_R2_DE_N15",3,0,9.73e-05
98,4,360,-611.9036,11.34,6.25,3727,0.04571,0.1,339.3,0,,0,0,9.72e-05
99,3,360,-1192.5106,9.9,9.63,3545,0.049201,0.325,362.6,1,"SRC_V4S_N14,SRC_V1_N11,SRC_R2_DE_N15",3,0,9.71e-05
100,2,360,-525.634,18.57,4.0,3822,0.036519,0.55,301.8,1,"EXT_S_N11_in,SRC_V4S_N08",2,0,9.7e-05
101,0,360,-1376.7093,14.56,4.4,4099,0.034611,1.0,328.0,1,"SRC_V4S_N08,SRC_V4S_N14,EXT_E_N10_in",3,0,9.69e-05
102,1,360,-569.5168,16.66,5.52,4183,0.021547,0.775,327.9,1,SRC_R1_BC_N02,1,0,9.67e-05
103,4,360,-532.8335,12.37,7.43,3792,0.030253,0.1,321.2,0,,0,0,9.66e-05
104,3,360,-829.1006,16.24,4.9,3731,0.03134,0.325,308.7,1,"SRC_R1_BC_N03,EXT_E_N15_in,SRC_R2_CD_N13",3,0,9.65e-05
105,0,360,-1060.773,14.82,6.72,3973,0.126157,1.0,284.2,1,"EXT_W_N01_in,SRC_V5S_N15",2,0,9.64e-05
106,2,360,-559.2904,15.03,4.38,4002,0.045414,0.55,306.5,0,,0,0,9.62e-05
